model,method,condition,n,faa,rsa,vbr,brr,afr,recovery,mean_bqs
qwen,multistage,clean,127,0.874016,0.007874,1.000000,1.000000,0.000000,0.000000,0.549633
qwen,multistage,blur-1,127,0.874016,0.007874,1.000000,1.000000,0.000000,0.000000,0.549899
qwen,multistage,blur-3,127,0.866142,0.007874,1.000000,1.000000,0.000000,0.000000,0.549561
qwen,multistage,blur-5,127,0.858268,0.007874,1.000000,1.000000,0.000000,0.000000,0.551158
qwen,multistage,noise-001,127,0.858268,0.007874,1.000000,1.000000,0.000000,0.000000,0.550009
qwen,multistage,noise-005,127,0.866142,0.007874,1.000000,1.000000,0.000000,0.000000,0.549299
qwen,multistage,noise-010,127,0.866142,0.007874,1.000000,1.000000,0.000000,0.000000,0.549601
qwen,multistage,rot-15,127,0.858268,,1.000000,1.000000,0.000000,0.000000,0.549253
qwen,multistage,rot-45,127,0.850394,,1.000000,1.000000,0.000000,0.000000,0.549405
qwen,multistage,rot-90,127,0.834646,,1.000000,1.000000,0.000000,0.000000,0.549275
qwen,textual,clean,127,0.795276,,,,,,
qwen,textual,blur-1,127,0.787402,,,,,,
qwen,textual,blur-3,127,0.787402,,,,,,
qwen,textual,blur-5,127,0.779528,,,,,,
qwen,textual,noise-001,127,0.795276,,,,,,
qwen,textual,noise-005,127,0.795276,,,,,,
qwen,textual,noise-010,127,0.795276,,,,,,
qwen,textual,rot-15,127,0.795276,,,,,,
qwen,textual,rot-45,127,0.748031,,,,,,
qwen,textual,rot-90,127,0.771654,,,,,,
qwen,verification,clean,127,0.771654,0.015748,1.000000,0.204724,0.141732,0.280000,
qwen,verification,blur-1,127,0.771654,0.015748,1.000000,0.196850,0.149606,0.291667,
qwen,verification,blur-3,127,0.763780,0.015748,1.000000,0.212598,0.149606,0.280000,
qwen,verification,blur-5,127,0.755906,0.015748,1.000000,0.196850,0.165354,0.291667,
qwen,verification,noise-001,127,0.779528,0.015748,1.000000,0.212598,0.141732,0.291667,
qwen,verification,noise-005,127,0.779528,0.015748,1.000000,0.228346,0.141732,0.291667,
qwen,verification,noise-010,127,0.787402,0.015748,1.000000,0.212598,0.133858,0.291667,
qwen,verification,rot-15,127,0.755906,,1.000000,0.204724,0.165354,0.291667,
qwen,verification,rot-45,127,0.771654,,1.000000,0.204724,0.181102,0.392857,
qwen,verification,rot-90,127,0.732283,,1.000000,0.196850,0.165354,0.240000,
qwen,visual,clean,127,0.803150,0.007874,1.000000,,,,
qwen,visual,blur-1,127,0.811024,0.007874,1.000000,,,,
qwen,visual,blur-3,127,0.803150,0.007874,1.000000,,,,
qwen,visual,blur-5,127,0.811024,0.007874,1.000000,,,,
qwen,visual,noise-001,127,0.811024,0.007874,1.000000,,,,
qwen,visual,noise-005,127,0.811024,0.007874,1.000000,,,,
qwen,visual,noise-010,127,0.811024,0.007874,1.000000,,,,
qwen,visual,rot-15,127,0.811024,,1.000000,,,,
qwen,visual,rot-45,127,0.779528,,1.000000,,,,
qwen,visual,rot-90,127,0.803150,,1.000000,,,,
