model,method,display_name,perturbation_type,target,severity,n,faa,rsa,brr,afr,rr
qwen,multistage,occlusion-obj1-low,occlusion,object_1,low,123,0.788618,0.008130,1.000000,0.000000,0.000000
qwen,multistage,occlusion-obj2-low,occlusion,object_2,low,123,0.813008,0.008130,1.000000,0.000000,0.000000
qwen,multistage,mask-union-low,mask,union,low,123,0.804878,0.008130,1.000000,0.000000,0.000000
qwen,multistage,distractor-nearobj1-low,distractor,near_obj1,low,123,0.796748,0.000000,1.000000,0.000000,0.000000
qwen,multistage,distractor-nearobj2-low,distractor,near_obj2,low,123,0.804878,0.008130,1.000000,0.000000,0.000000
qwen,multistage,occlusion-obj1-medium,occlusion,object_1,medium,123,0.747967,0.016260,1.000000,0.000000,0.000000
qwen,multistage,occlusion-obj2-medium,occlusion,object_2,medium,123,0.804878,0.008130,1.000000,0.000000,0.000000
qwen,multistage,mask-union-medium,mask,union,medium,123,0.756098,0.008130,1.000000,0.000000,0.000000
qwen,multistage,distractor-nearobj1-medium,distractor,near_obj1,medium,123,0.796748,0.016260,1.000000,0.000000,0.000000
qwen,multistage,distractor-nearobj2-medium,distractor,near_obj2,medium,123,0.788618,0.000000,1.000000,0.000000,0.000000
qwen,multistage,occlusion-obj1-high,occlusion,object_1,high,123,0.772358,0.008130,1.000000,0.000000,0.000000
qwen,multistage,occlusion-obj2-high,occlusion,object_2,high,123,0.853659,0.008130,1.000000,0.000000,0.000000
qwen,multistage,mask-union-high,mask,union,high,123,0.658537,0.000000,1.000000,0.000000,0.000000
qwen,multistage,distractor-nearobj1-high,distractor,near_obj1,high,123,0.780488,0.008130,1.000000,0.000000,0.000000
qwen,multistage,distractor-nearobj2-high,distractor,near_obj2,high,123,0.813008,0.016260,1.000000,0.000000,0.000000
qwen,textual,occlusion-obj1-low,occlusion,object_1,low,123,0.747967,,,,
qwen,textual,occlusion-obj2-low,occlusion,object_2,low,123,0.804878,,,,
qwen,textual,mask-union-low,mask,union,low,123,0.772358,,,,
